source,target,value,naturalCourt,type
81,78,57.98204,1401,CL
90,78,3.026787,1401,CL
88,78,1.796387,1401,CL
80,78,7.90204,1401,CL
86,78,-7.439034,1401,CL
79,78,-3.477713,1401,CL
89,78,-6.83403,1401,CL
84,78,11.477744,1401,CL
78,81,62.769482,1401,CL
90,81,1.966955,1401,CL
88,81,2.308462,1401,CL
80,81,8.285597,1401,CL
86,81,-7.071457,1401,CL
79,81,-2.642183,1401,CL
89,81,-5.463528,1401,CL
84,81,9.386296,1401,CL
78,90,5.371539,1401,CL
81,90,6.889748,1401,CL
88,90,39.889187,1401,CL
80,90,16.866364,1401,CL
86,90,5.634495,1401,CL
79,90,10.835251,1401,CL
89,90,6.468094,1401,CL
84,90,7.782901,1401,CL
78,88,5.227198,1401,CL
81,88,6.285429,1401,CL
90,88,41.627617,1401,CL
80,88,16.778671,1401,CL
86,88,5.1423,1401,CL
79,88,10.170752,1401,CL
89,88,6.86473,1401,CL
84,88,7.667334,1401,CL
78,80,14.191914,1401,CL
81,80,14.303932,1401,CL
90,80,21.681402,1401,CL
88,80,21.317976,1401,CL
86,80,2.184578,1401,CL
79,80,3.987308,1401,CL
89,80,1.097914,1401,CL
84,80,-21.138309,1401,CL
78,86,-9.600332,1401,CL
81,86,-9.582259,1401,CL
90,86,2.762258,1401,CL
88,86,2.055951,1401,CL
80,86,-0.151092,1401,CL
79,86,19.62075,1401,CL
89,86,37.497822,1401,CL
84,86,18.703039,1401,CL
78,79,-1.51015,1401,CL
81,79,-1.349745,1401,CL
90,79,11.221776,1401,CL
88,79,12.16856,1401,CL
80,79,7.032971,1401,CL
86,79,22.575216,1401,CL
89,79,23.374399,1401,CL
84,79,-20.719616,1401,CL
78,89,-9.149214,1401,CL
81,89,-9.709522,1401,CL
90,89,1.881917,1401,CL
88,89,1.513995,1401,CL
80,89,1.110253,1401,CL
86,89,38.370998,1401,CL
79,89,19.523537,1401,CL
84,89,18.639244,1401,CL
78,84,10.538627,1401,CL
81,84,9.179506,1401,CL
90,84,8.031243,1401,CL
88,84,7.491197,1401,CL
80,84,-15.243515,1401,CL
86,84,17.158693,1401,CL
79,84,-15.619604,1401,CL
89,84,16.701355,1401,CL
81,78,49.2759285,1402,CL
90,78,-1.105712056,1402,CL
88,78,0.085492,1402,CL
80,78,0.897228003,1402,CL
86,78,-24.88235474,1402,CL
79,78,0.652263999,1402,CL
89,78,23.10041618,1402,CL
78,81,33.1928215,1402,CL
90,81,8.276857376,1402,CL
88,81,8.813634872,1402,CL
80,81,8.892219543,1402,CL
86,81,7.145078182,1402,CL
79,81,-17.95147514,1402,CL
89,81,-15.69641304,1402,CL
78,90,2.043931961,1402,CL
81,90,7.089913845,1402,CL
88,90,37.5447731,1402,CL
80,90,37.26778793,1402,CL
86,90,12.58131886,1402,CL
79,90,-2.183159113,1402,CL
89,90,1.233430028,1402,CL
78,88,2.611517906,1402,CL
81,88,6.984052181,1402,CL
90,88,39.31303024,1402,CL
80,88,37.55992126,1402,CL
86,88,12.743536,1402,CL
79,88,-0.044210002,1402,CL
89,88,-0.685379982,1402,CL
78,80,1.850162029,1402,CL
81,80,6.819643974,1402,CL
90,80,38.22901535,1402,CL
88,80,38.86672211,1402,CL
86,80,11.94008255,1402,CL
79,80,-1.563516021,1402,CL
89,80,0.672336996,1402,CL
78,86,-23.25074577,1402,CL
81,86,9.468732834,1402,CL
90,86,13.0456543,1402,CL
88,86,13.67201233,1402,CL
80,86,14.04341507,1402,CL
79,86,3.719753027,1402,CL
89,86,22.77828789,1402,CL
78,79,-7.263570786,1402,CL
81,79,-32.5868454,1402,CL
90,79,-3.516895056,1402,CL
88,79,-3.761802912,1402,CL
80,79,-0.977874994,1402,CL
86,79,3.768876076,1402,CL
89,79,48.12338257,1402,CL
78,89,22.45581436,1402,CL
81,89,-19.14520454,1402,CL
90,89,1.187374949,1402,CL
88,89,0.095302999,1402,CL
80,89,0.908854008,1402,CL
86,89,24.18618011,1402,CL
79,89,32.02116013,1402,CL
